                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83489,                 3.4899,                 1.2122,                      0,                      0,                      0,                      0,                0.18498,                 3.6523,                0.75444,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                0.49112,                 3.1774,                  1.047,                      0,                      0,                      0,                      0,                0.17943,                 3.5134,                0.68222,               0.000165,               0.000165,               0.000165
                      3,                 0.4079,                 2.5596,                0.95311,                      0,                      0,                      0,                      0,                0.17921,                 3.3427,                0.67853,             0.00025047,             0.00025047,             0.00025047
                      4,                0.39363,                 2.3306,                0.94219,                      0,                      0,                      0,                      0,                0.26831,                 3.0731,                0.70919,             0.00033418,             0.00033418,             0.00033418
                      5,                0.40383,                 2.1769,                 0.9189,                      0,                      0,                      0,                      0,                0.20325,                 2.7975,                 0.6792,             0.00041613,             0.00041613,             0.00041613
                      6,                0.39832,                 1.8509,                0.93699,                      0,                      0,                      0,                      0,                 0.2384,                 2.3461,                0.70058,             0.00049632,             0.00049632,             0.00049632
                      7,                0.36567,                 1.6205,                0.90428,                      0,                      0,                      0,                      0,                0.22395,                 2.3826,                0.69919,             0.00057475,             0.00057475,             0.00057475
                      8,                0.35218,                 1.5214,                0.90861,                0.53333,                    0.6,                0.56367,                0.56367,                0.23955,                  1.638,                0.70852,             0.00065142,             0.00065142,             0.00065142
                      9,                0.37873,                 1.6557,                 0.9377,                    0.2,                    0.2,                  0.199,                  0.199,                0.28446,                 2.0537,                0.72963,             0.00072634,             0.00072634,             0.00072634
                     10,                0.37285,                 1.3207,                0.87331,                      1,                    0.9,                  0.946,                 0.9311,                0.27642,                 1.3804,                0.72263,             0.00079949,             0.00079949,             0.00079949
                     11,                0.37706,                 1.4648,                0.91469,                0.35926,                    0.6,                0.53067,                0.49353,                0.38462,                 5.0706,                0.78609,             0.00087088,             0.00087088,             0.00087088
                     12,                0.32888,                 1.2454,                 0.9084,                0.46667,                    0.5,                  0.548,                0.50395,                0.45454,                   2.94,                 0.8686,             0.00094051,             0.00094051,             0.00094051
                     13,                0.36521,                  1.317,                0.91696,                    0.4,                    0.3,                  0.349,                  0.349,                 0.4137,                 2.1798,                0.79107,             0.00097901,             0.00097901,             0.00097901
                     14,                0.37464,                  1.501,                0.91021,                    0.6,                    0.6,                  0.597,                 0.5771,                0.40158,                 1.5644,                0.76403,             0.00096801,             0.00096801,             0.00096801
                     15,                0.35617,                 1.2492,                0.91731,                      1,                      1,                  0.995,                0.95525,                0.39274,                0.93699,                0.80332,             0.00095702,             0.00095702,             0.00095702
                     16,                0.42024,                 1.2584,                0.95732,                    0.8,                    0.6,                  0.698,                0.67555,                0.33909,                 1.2218,                0.74698,             0.00094602,             0.00094602,             0.00094602
                     17,                0.33551,                 1.1293,                0.90795,                      1,                    0.7,                  0.848,                0.84055,                0.25225,                 1.0315,                0.71497,             0.00093502,             0.00093502,             0.00093502
                     18,                0.32182,                 1.0675,                0.89017,                    0.8,                    0.6,                  0.698,                  0.698,                0.25285,                 1.2093,                0.71985,             0.00092402,             0.00092402,             0.00092402
                     19,                0.35966,                 1.0218,                0.90433,                    0.8,                    0.6,                  0.698,                 0.6781,                0.31292,                 1.3278,                0.73656,             0.00091302,             0.00091302,             0.00091302
                     20,                0.33787,                 1.0721,                0.92587,                0.45714,                    0.5,                  0.548,                0.46415,                0.27671,                   2.03,                0.72736,             0.00090202,             0.00090202,             0.00090202
                     21,                 0.3576,                0.99327,                0.92688,                 0.6704,                    0.8,                  0.796,                0.72967,                0.28201,                 1.5088,                0.72606,             0.00089102,             0.00089102,             0.00089102
                     22,                0.29548,                0.85617,                0.86143,                      1,                      1,                  0.995,                  0.995,                0.21985,                0.72098,                0.69489,             0.00088002,             0.00088002,             0.00088002
                     23,                0.30766,                0.92358,                0.87764,                      1,                    0.9,                  0.946,                  0.946,                0.18142,                0.74305,                0.67807,             0.00086902,             0.00086902,             0.00086902
                     24,                0.34328,                0.88752,                0.88538,                      1,                      1,                  0.995,                  0.995,                0.21086,                0.69664,                0.67514,             0.00085803,             0.00085803,             0.00085803
                     25,                0.29659,                 1.0156,                0.85027,                      1,                    0.9,                  0.946,                  0.946,                0.19031,                0.71208,                0.67178,             0.00084703,             0.00084703,             0.00084703
